hero_pool_week,map_name,Ana,Ashe,Baptiste,Bastion,Brigitte,D.Va,Doomfist,Echo,Genji,Hanzo,Junkrat,Lúcio,McCree,Mei,Mercy,Moira,Orisa,Pharah,Reaper,Reinhardt,Roadhog,Sigma,Soldier: 76,Sombra,Symmetra,Torbjörn,Tracer,Widowmaker,Winston,Wrecking Ball,Zarya,Zenyatta
Overwatch League - Stage 1 - 2018,Lijiang Tower,0.0038181617188502554,0.0,0.0,9.437141235840467e-05,0.0,0.8113102248950742,0.01046925629240352,0.0,0.23020931406284445,0.0,0.2211906520812552,0.2936268477837776,0.2534732748849018,0.0073569568812148385,0.8824615534443082,0.06978587991397395,0.04639614188959628,0.27655488672025075,0.011929583663132006,0.21775102108092864,0.10311985096092714,0.0,0.13818606366133515,0.0008003941581596093,0.0,0.0,0.7051609221027714,0.047661510329973504,0.7299574579630214,0.0,0.20172026819500408,0.7369654059039376
Overwatch League - Stage 1 - 2018,Numbani,0.1388108098212153,0.0,0.0,0.001048263777615648,0.0,0.9743726882090098,0.019492789574294445,0.0,0.23144440051762194,5.705316668018987e-05,0.08846999558056061,0.03794085173403632,0.2169177764619164,0.0,0.9960172729520093,0.0009520895555917902,0.027802453344100447,0.14780362407830733,0.0019816277285813855,0.011070578378978879,0.013623400014501337,0.0,0.46900479334668,0.006288183132193466,0.0,0.004210328753661353,0.7755893867066547,0.0652628159676246,0.9612414059709753,0.0,0.010384225485588075,0.8002131857416019
Overwatch League - Stage 1 - 2018,Oasis,0.006530667792251137,0.0,0.0,0.0,0.0,0.8107116834469119,0.00878480397883382,0.0,0.1413445073809668,0.0,0.2483088464851117,0.28911017296333336,0.41195520193393587,0.0,0.9127106380109905,0.06784619751819701,0.17267803748720073,0.292621050028456,0.026962094668829466,0.1012593670564009,0.2944893380703962,0.0,0.07557849143535847,0.008176853500041372,0.0,0.0,0.6692392076007292,0.009895934968595687,0.646325458819706,0.0,0.08746500733162166,0.7180064395221326
Overwatch League - Stage 1 - 2018,Temple of Anubis,0.01617720027870855,0.0,0.0,0.0003838393346318434,0.0,0.9607385560053244,0.012193900992134066,0.0,0.46568894835208857,0.00022971397443162858,0.3535264715099167,0.046120188648614634,0.026950035223509302,0.014039487336181976,0.9780688086453077,0.004986462196401196,0.19243217390639736,0.024430586517475508,0.08773582418115361,0.001035206049763415,0.06205365802753651,0.0,0.028010054599209914,0.046290510989657224,0.0,0.0,0.6996755941470449,0.28134187715031805,0.7973786136645852,0.0,0.0,0.9005122882696074
Overwatch League - Stage 2 - 2018,Hanamura,0.41719017656821317,0.0,0.0,3.711888545032444e-05,0.0,0.9941325657131299,0.013341941887033366,0.0,0.49079720255449527,0.012939446934820596,0.014321998991832736,0.424919657810274,0.02687871529834676,0.006751682905230426,0.16040510096313815,0.0353247792499407,0.005269365496689504,0.0005007843077629332,0.005228406854099982,0.0012928112216202628,0.029012081740011665,0.0,0.38905787282463344,0.017025608556661746,0.0,0.0,0.9587016016427974,0.06363789640252994,0.9918475891509492,0.0,0.0,0.9413855940403383
Overwatch League - Stage 2 - 2018,Hollywood,0.038549538924611035,0.0,0.0,0.00015139169212063353,0.0,0.9867906420393718,0.015526073137106891,0.0,0.23847589675924205,0.009230895353830417,0.23877260903271688,0.39925158368746405,0.0993042988528379,0.0060979422826876436,0.558154793466855,0.16164061723652845,0.0443656914429378,0.08282870608190705,0.013384270012175212,0.08570273891298505,0.14704395388283562,0.0,0.15171275309523066,0.047375944616925486,8.633332586547926e-05,0.0,0.6935697077569339,0.31146715564272787,0.8191855000784888,0.0,0.01813854592684498,0.833192416758769
Overwatch League - Stage 2 - 2018,Ilios,0.0,0.0,0.0,0.0,0.0,0.9999999999965992,0.002206977057633399,0.0,0.21619393295500786,0.0,0.0,0.8710553667574662,0.0723685008315159,0.0,0.324094167259373,0.008150286544585276,0.0,0.23696560220262927,0.0,0.0,0.0,0.0,0.17980163577445812,0.07722696853261928,0.0,0.0,0.9821775746799015,0.30281910941828716,0.9999999999965992,0.0,0.0,0.7269398779933247
Overwatch League - Stage 2 - 2018,King's Row,0.16100671542524955,0.0,0.0,0.003238522896306987,0.0,0.8634088302436282,0.015467543062062746,0.0,0.23830445088087615,0.06904525387735816,0.3987953779306573,0.6574745738661919,0.12795569929136547,0.002080096317885105,0.2786150446099275,0.33272871624528016,0.061510099188391044,0.10652278565318188,0.015211019576839938,0.4613664654163584,0.1560580704732569,0.0,0.03939598794317427,0.009912926660517803,0.0,1.9649951276093743e-05,0.3681479034547826,0.25955438195763975,0.48248140213580204,0.0,0.3330850753518211,0.5586134075901696
Overwatch League - Stage 2 - 2018,Lijiang Tower,0.004713566742580648,0.0,0.0,0.0,0.0,0.949286834745636,0.0208363193264292,0.0,0.22653557477935754,0.0,0.1453743330534164,0.9815565970001039,0.09156563914958225,0.012401008469726655,0.06123187450365504,0.23971945424597035,0.0017645546424949236,0.203906297514586,0.01648711160632458,0.22055026191864618,0.05450522326905355,0.0,0.29125958549475256,0.014697928304505486,0.0,0.0,0.8023396478878669,0.0019093812610385978,0.7677743518710658,0.0,0.18025585637492156,0.7113285978382857
Overwatch League - Stage 2 - 2018,Nepal,0.014414062152755204,0.0,0.0,0.004933134051294667,0.0,0.8910224443959603,0.003642153198764723,0.0,0.23877452231863955,0.012839187981458009,0.07364116271912627,0.7027601257482793,0.03231536166223325,0.0,0.3263547579099739,0.03260040812737001,0.1868109024557317,0.1676223013659515,0.0038489229043298942,0.023275777094100166,0.12974510193485883,0.0,0.5307838819293857,7.752063586734939e-05,0.0,0.0,0.8247625617833414,0.07496071520237112,0.7835331271208592,0.0,0.0198917993843214,0.9213900679230261
