player,RMSA
Yveltal,-6.532148038294153
Clestyn,-6.586673437699285
zYKK,-6.630643863000967
STRIKER,-6.969996476009093
ATing,-7.000798520416583
Jihun,-7.180984207652749
Babel,-7.209248692644765
brussen,-7.270833879938017
Architect,-7.467105396377298
Stitch,-7.5994696352672015
Fusions,-7.654124926045663
Jaru,-8.526575565104062
Twilight,-9.14933411905679
Creative,-9.735679352950774
Michelle,-12.46480244616203
