match_id,game_number,map_name,map_winner,match_date,team_one_name,team_two_name,team_one_score,team_two_score,season
30157,2,Eichenwalde,San Francisco Shock,2019/09/29,San Francisco Shock,Vancouver Titans,100.0,75.07431969393761,2019
30158,2,King's Row,San Francisco Shock,2019/09/15,New York Excelsior,San Francisco Shock,99.0878301515322,100.0,2019
30159,2,King's Row,San Francisco Shock,2019/09/13,Los Angeles Gladiators,San Francisco Shock,95.20069161720899,100.0,2019
30160,2,King's Row,San Francisco Shock,2019/09/14,San Francisco Shock,Hangzhou Spark,100.0,78.78740991130336,2019
30161,2,Eichenwalde,Seoul Dynasty,2019/09/08,Seoul Dynasty,Hangzhou Spark,100.0,99.99836732179179,2019
30162,2,Numbani,Hangzhou Spark,2019/09/12,Atlanta Reign,Hangzhou Spark,78.93355765728963,100.0,2019
30163,2,King's Row,New York Excelsior,2019/09/08,New York Excelsior,Atlanta Reign,100.0,99.99991975044362,2019
30163,6,Numbani,New York Excelsior,2019/09/08,Atlanta Reign,New York Excelsior,56.11158227375172,100.0,2019
30164,2,Numbani,San Francisco Shock,2019/09/08,London Spitfire,San Francisco Shock,94.04126947537314,100.0,2019
30172,2,Eichenwalde,Guangzhou Charge,2019/08/31,Guangzhou Charge,Chengdu Hunters,100.0,47.11089395321768,2019
30173,2,King's Row,Shanghai Dragons,2019/08/31,Philadelphia Fusion,Shanghai Dragons,98.6707438613944,100.0,2019
30173,6,King's Row,Philadelphia Fusion,2019/08/31,Shanghai Dragons,Philadelphia Fusion,57.819138905588495,100.0,2019
30175,2,Numbani,London Spitfire,2019/08/31,London Spitfire,Shanghai Dragons,100.0,0.0,2019
30175,6,King's Row,draw,2019/08/31,Shanghai Dragons,London Spitfire,82.92545101370472,100.0,2019
30176,2,King's Row,Seoul Dynasty,2019/08/31,Seoul Dynasty,Guangzhou Charge,100.0,55.55137805732705,2019
30176,6,Eichenwalde,Seoul Dynasty,2019/09/01,Seoul Dynasty,Guangzhou Charge,100.0,70.90441739117026,2019
30991,2,Eichenwalde,Toronto Defiant,2020/02/08,Toronto Defiant,Paris Eternal,100.0,75.07431969393761,2020
30992,2,King's Row,New York Excelsior,2020/02/08,New York Excelsior,London Spitfire,100.0,99.99847757840745,2020
30993,2,King's Row,Vancouver Titans,2020/02/08,Vancouver Titans,Los Angeles Gladiators,100.0,79.74232755275223,2020
30994,2,Blizzard World,Los Angeles Valiant,2020/02/09,Los Angeles Valiant,Dallas Fuel,100.0,92.9553045744822,2020
30995,2,King's Row,Paris Eternal,2020/02/09,Paris Eternal,London Spitfire,100.0,46.51306155518208,2020
30996,2,Blizzard World,New York Excelsior,2020/02/09,New York Excelsior,Boston Uprising,100.0,54.98032674973007,2020
30997,2,Blizzard World,Vancouver Titans,2020/02/09,Los Angeles Valiant,Vancouver Titans,86.61643857148123,100.0,2020
30998,2,Eichenwalde,San Francisco Shock,2020/02/10,Dallas Fuel,San Francisco Shock,72.03138543433913,100.0,2020
31000,3,Eichenwalde,Chengdu Hunters,2020/03/29,Shanghai Dragons,Chengdu Hunters,0.0,100.0,2020
31001,3,Eichenwalde,Florida Mayhem,2020/02/15,Houston Outlaws,Florida Mayhem,99.12527733379466,100.0,2020
31002,3,King's Row,Philadelphia Fusion,2020/02/16,Philadelphia Fusion,Washington Justice,100.0,82.15217254451854,2020
31003,3,Numbani,Hangzhou Spark,2020/03/28,Hangzhou Spark,Chengdu Hunters,100.0,68.44563831470059,2020
31005,3,King's Row,Washington Justice,2020/02/16,Houston Outlaws,Washington Justice,97.36897398161383,100.0,2020
31006,3,Blizzard World,Philadelphia Fusion,2020/02/17,Florida Mayhem,Philadelphia Fusion,0.0,100.0,2020
31010,4,Eichenwalde,Philadelphia Fusion,2020/02/22,Philadelphia Fusion,New York Excelsior,100.0,69.79617526696579,2020
31011,4,Blizzard World,draw,2020/02/22,Boston Uprising,Houston Outlaws,100.0,100.0,2020
31012,4,Blizzard World,Paris Eternal,2020/02/23,Washington Justice,Paris Eternal,62.3622157691032,100.0,2020
31017,4,King's Row,Toronto Defiant,2020/02/23,Philadelphia Fusion,Toronto Defiant,98.69086996115848,100.0,2020
31018,4,Blizzard World,London Spitfire,2020/02/24,Washington Justice,London Spitfire,0.0,100.0,2020
31023,2,King's Row,New York Excelsior,2020/02/29,New York Excelsior,Florida Mayhem,100.0,76.43206957213829,2020
31024,2,Blizzard World,Atlanta Reign,2020/02/29,Atlanta Reign,Toronto Defiant,100.0,0.0,2020
