match_id,game_number,map_name,map_type,map_winner,match_date,team_one_name,team_two_name,team_one_score,team_two_score,season
37413,3,King's Row,Hybrid,Los Angeles Gladiators,2021/07/11,Boston Uprising,Los Angeles Gladiators,1.099602460232262,1.50537823003355,2021
37414,3,Hollywood,Hybrid,Paris Eternal,2021/07/11,Paris Eternal,Washington Justice,0.34777326780304935,0.0,2021
37148,4,Dorado,Escort,Florida Mayhem,2021/05/02,Florida Mayhem,Washington Justice,0.5826308708273683,0.2166119590319969,2021
37211,4,Havana,Escort,San Francisco Shock,2021/05/01,Atlanta Reign,San Francisco Shock,0.22398004820120024,1.10699175134961,2021
37212,4,Havana,Escort,Toronto Defiant,2021/05/01,Toronto Defiant,London Spitfire,1.1355533262835167,0.9426508338041104,2021
37213,4,Dorado,Escort,Florida Mayhem,2021/05/01,Paris Eternal,Florida Mayhem,0.5655677540133734,0.8551501063375597,2021
37216,4,Dorado,Escort,London Spitfire,2021/04/30,London Spitfire,Boston Uprising,1.4040053183480357,0.22503099158356837,2021
37217,4,Havana,Escort,Washington Justice,2021/04/29,Washington Justice,Boston Uprising,0.8379941957092611,0.7908214018588896,2021
37219,2,Dorado,Escort,Washington Justice,2021/04/25,Vancouver Titans,Washington Justice,0.5277332512647723,1.1401408747235002,2021
37220,2,Havana,Escort,Dallas Fuel,2021/04/25,Boston Uprising,Dallas Fuel,0.5751202715220395,0.9335485808976826,2021
37221,2,Watchpoint: Gibraltar,Escort,Houston Outlaws,2021/04/25,Houston Outlaws,London Spitfire,1.259927202033719,0.5489758363337276,2021
37222,2,Watchpoint: Gibraltar,Escort,Dallas Fuel,2021/04/24,Washington Justice,Dallas Fuel,1.0714427989933895,1.9388953912550033,2021
37223,2,Watchpoint: Gibraltar,Escort,Los Angeles Gladiators,2021/04/24,Boston Uprising,Los Angeles Gladiators,0.9231088506977303,1.3465741889208316,2021
37224,2,Havana,Escort,Paris Eternal,2021/04/24,Paris Eternal,Houston Outlaws,1.2352962905528226,1.1169166465014135,2021
37225,2,Havana,Escort,Los Angeles Gladiators,2021/04/23,London Spitfire,Los Angeles Gladiators,0.41964180285697056,0.97747297481271,2021
37226,2,Watchpoint: Gibraltar,Escort,Paris Eternal,2021/04/23,Paris Eternal,Vancouver Titans,1.3968457637448233,0.5654649255630841,2021
37227,3,Dorado,Escort,Toronto Defiant,2021/04/19,Toronto Defiant,Atlanta Reign,1.0228565534547769,0.9005418551638183,2021
37228,3,Havana,Escort,Vancouver Titans,2021/04/18,Vancouver Titans,Florida Mayhem,1.1161518428978847,0.600377639668428,2021
37229,3,Dorado,Escort,Houston Outlaws,2021/04/18,Houston Outlaws,San Francisco Shock,1.7088090353112888,0.22927793974564922,2021
37229,6,Havana,Escort,Houston Outlaws,2021/04/18,San Francisco Shock,Houston Outlaws,0.22093722493727666,0.5797463657831029,2021
37230,3,Dorado,Escort,Los Angeles Gladiators,2021/04/17,Los Angeles Gladiators,Dallas Fuel,1.0546556812992833,0.9073853777485935,2021
37231,3,Watchpoint: Gibraltar,Escort,Florida Mayhem,2021/04/17,Florida Mayhem,Atlanta Reign,0.6562240760893358,0.23154066502125892,2021
37232,3,Watchpoint: Gibraltar,Escort,Vancouver Titans,2021/04/17,Vancouver Titans,Toronto Defiant,1.1654932156937508,0.566189822442815,2021
37233,3,Watchpoint: Gibraltar,Escort,San Francisco Shock,2021/04/16,Los Angeles Gladiators,San Francisco Shock,0.5438018923972053,1.6124847760268552,2021
37234,3,Havana,Escort,Houston Outlaws,2021/04/16,Dallas Fuel,Houston Outlaws,0.9592815358284222,0.9775335233336211,2021
37235,4,Rialto,Escort,Hangzhou Spark,2021/06/05,Hangzhou Spark,Chengdu Hunters,0.9118749985565109,0.9118575622470527,2021
37237,4,Rialto,Escort,Philadelphia Fusion,2021/06/05,Philadelphia Fusion,Los Angeles Valiant,2.560050027158503,0.6043729265382691,2021
37239,4,Dorado,Escort,Chengdu Hunters,2021/06/04,Chengdu Hunters,Seoul Dynasty,1.0065597597236762,0.5965038659814461,2021
37240,4,Junkertown,Escort,Philadelphia Fusion,2021/06/04,Guangzhou Charge,Philadelphia Fusion,0.5712523446166301,0.9893694565906868,2021
37244,4,Havana,Escort,Shanghai Dragons,2021/04/30,Shanghai Dragons,Hangzhou Spark,1.4830253966543867,0.23927778806224118,2021
37247,2,Havana,Escort,Philadelphia Fusion,2021/04/25,Philadelphia Fusion,Chengdu Hunters,1.3015790250298382,0.1358883380406861,2021
